,isbn,rating_count
1275,1598530143,54
1276,316367958,7555
1277,375508317,2289
1278,345506367,523
1279,080277945X,528
1280,075510031X,169
1281,809598019,246
1282,811733920,8
1283,1569766061,247
1284,1422116913,209
1285,1609450086,127
1286,785128662,4844
1287,520216652,93
1288,879306084,11
1289,375421785,144
1290,262730642,68
1291,373126662,89
1292,373038399,95
1293,786936533,115
1294,719557232,6
1295,752852043,8462
1296,300094698,126
1297,1935217895,151
1298,578060752,406
1299,61961183,8125
1300,689718616,903
1301,3499187582,5
1302,415096227,161
1303,1416547045,131
1304,802119875,1598
1305,037542072X,14
1306,306811073,66
1307,826313019,10
1308,1406768073,0
1309,545326869,9611
1310,694011770,2328
1311,192862065,189
1312,737301023,159
1313,736837922,21
1314,716735954,16
1315,312545053,2525
1316,1846041775,22
1317,241950937,61
1318,1892746727,74
1319,984556303,229
1320,807220841,2430
1321,897335074,347
1322,718824652,88
1323,718810465,134
1324,1846164648,664
1325,1846164613,533
1326,1846164583,755
1327,1846164575,857
1328,1846164605,569
1329,1846164591,583
1330,1846161665,2457
1331,1843629593,1287
1332,691144141,31
1333,152052496,345
1334,747569096,1943
1335,1849700842,164
1336,375833234,268
1337,590203487,221
1338,553386719,1200
1339,152056645,250
1340,898156181,36
1341,1854095307,39
1342,1591025540,17
1343,982517009,9
1344,1584350970,214
1345,158846475X,47
1346,199744254,31
1347,1584793414,4980
1348,1584792965,2482
1349,1584790830,22279
1350,226504581,4
1351,62507109,287
1352,425202453,751
1353,821773151,237
1354,974655368,20
1355,684800012,14201
1356,395857015,236
1357,888394462,12
1358,888395086,34
1359,70344361,120
1360,671804421,32
1361,1594485070,689
1362,888395469,6
1363,425037304,43
1364,801857481,176
1365,525066586,49
1366,1557882622,262
1367,440243238,4846
1368,520235398,60
1369,394722531,341
1370,161608135X,180
1371,306809001,200
1372,140511369,105
1373,770422462,3932
1374,521485223,29
1375,1581341016,51
1376,60784024,1313
1377,393304973,1012
1378,387331948,13
1379,553588656,8342
1380,312337078,5772
1381,61733512,12702
1382,307887898,254222
1383,307237516,1632
1384,1933390360,29
1385,618128069,304
1386,691123713,52
1387,195171314,87
1388,306800330,403
1389,1564766314,34
1390,786933461,305
1391,62023098,395
1392,373767498,74
